User ::= TimWong
Period ::= Day
App ::= <App0,XPO,v39,"4yeEukPpGeN3BJIIRJI 8U2sramtCiiF338CGa5L","Child">
App ::= <App1,OS,v85.89_28_10,"eIRh2CqqvU6Q8EXL5ojWagO4b kz8RgEY uElCV7","Study">
App ::= <App2,MWDWOX,v58.50_8,"lC9e9GmWuqwfPmQRfebvgoz8yxbhNB2Vfakj1Kwy","Video">
App ::= <App3,EKV,v90_9.34.23,"3EUHIwo0OVQmJEVDIk8aIsS5ar4HcbRc iVgZBv","Picture">
App ::= <App4,EBX,v96,"NvbljXx81uuFM8lh5jb5h2uiBj 1oRS0lvTjmhtN","Study">
App ::= <App5,QXKLT,v24-91-20.75,"a9Sl RM50rLjd9IrsiM17PlbJJR3uS  38oEOg8N","Game">
App ::= <App6,RV,v88.38_72,"S5Aq EnYPAg7Zmsr7HLvGIOMjEx01NDLiVcon77d","Work">
App ::= <App7,JLI,v48_29_13.54,"9b5h5OJEdXZlbV7Ay5CFyeMpNtX8knccdTyh2WHm","SocialNetwork">
App ::= <App8,LPODE,v13.2,"1gWmShOJWnKEzdZdiLJTbE3ynXQzsdHnSNnTRLFp","Food">
App ::= <App9,CQAJSVR,v68_17_50.4,"1Ujzape yZUW3q0s8GKOprTzYf5A H24Asl29tOh","Food">
App ::= <App10,QW,v78.46,"ABb0ho4dbzJuIpW6Nl aA1dFtIcj7PgREtJ2Hhjp","Leisure">
App ::= <App11,VUUMGME,v76,"lZGcscULsP6ogWF08MHDuXdzlYc6PA6Dqu02cn4L","Study">
App ::= <App12,ZCHTYET,v80-51,"HPdBg2Ok zt4fL61ro MQifXukuhnxFfyFcd0 4O","Music">
App ::= <App13,YR,v61.83-54_69,"4xGMr5omcYZ8aAxa1z7qiG4Mh4iHLtweu1zxBeON","Study">
App ::= <App14,WO,v72,"30HarAtACB8SiJaT15vRSecXddlt7tNLxxbtTEvw","Game">
App ::= <App15,WQWHQP,v68-49,"fMK4S2PUGn00FZtQ6sJgdLaG SlAHP0CTwsqnZen","Study">
App ::= <App16,FM,v97,"ZPqMGXSe9Hbb4kPVtboEv1Tl5ARGdM4O0pemx06M","Work">
App ::= <App17,WZ,v9-46,"3OqR2BKKe4tdCcjOEtPm2YqxQA1dlE7ZhKDqC91","Study">
App ::= <App18,CUHYQJH,v42_51.35-66,"PXzEOjXaBQgqYe9rNRDwrhw3RDqqvsbL6k9BSI6D","Food">
App ::= <App19,MBVBOJT,v17.24,"sh1oQNd4NOT9LCGgZxzRPgTVZZRXFSTwJqlULNtz","SocialNetwork">
App ::= <App20,BHDU,v6_60.34,"lBo2 b2ui2PjkKtpkhhHLjReACsdxNZSiIWchDCs","Picture">
App ::= <App21,MBNC,v63.33-45,"hvTD0TvgLF0YHWvaJBLca 2CTSgYoufwbEZ39vsC","Video">
App ::= <App22,FOOMN,v73,"w9VdcoVWeO wW CeSNWxVqxBr8v3djiAeaBbb4Rj","Office">
App ::= <App23,PEXYXQS,v29-76.67.24,"x3vtUPisQwZQbXgq8bt7QaF8syc JKmJ95wU5KgS","Leisure">
App ::= <App24,EDUOZMR,v3,"F6hTvh1KeVxg9WvKq0Qn7Rtm Igexsoe3usg9ViS","Music">
App ::= <App25,KLI,v64_92-7,"L20b7naNI2jSXpvtZnFzhQYSaK1x3aFe7sEVnz8t","Work">
App ::= <App26,QAOIVVI,v7.75,"I 76LPX1XKVN6ul51dFL1mhoFPPnXOmKJ6LRKqJm","Food">
App ::= <App27,EXYS,v53-56,"RqYIlLHKjhNS4ytm7CbNy bIUUY4xk9rU8Bzf5yj","Music">
App ::= <App28,NVTUPXI,v45-12,"05akX3Rs8CDoZLjY9axOAOs4hA8nT7u8IHQD3uzc","Study">
App ::= <App29,VIHAD,v19,"jvVfco0ih9iUOLAljcRllB0PM6KZyJejf0NLB6sd","SocialNetwork">
App ::= <App30,UNDUQW,v31.70-96_72,"DOvoIEnDw7Gf52T4uONzwjOdGURTQZjtTYLQABXj","Study">
App ::= <App31,OPJXN,v5,"5ETwYNhaAPen 2SAF5Gk4Guhpl pOxggRNkpOZ10","Picture">
App ::= <App32,FA,v29-76_5.78,"J7oOITCrudTAC uwfXEncIT4ngn2Qom4Hf6wr0Vc","Child">
App ::= <App33,HC,v59.18_78,"iO0dFPlaGAXIy5wJ6wPXbq45oeOEPDe3dA5K2PLH","Child">
App ::= <App34,XCKXNXV,v77,"EMp3LWiJENGmZybxj3M4GICCraWgNCAuF9iJgk 0","SocialNetwork">
App ::= <App35,XAGT,v40_38,"v1iZV9sp53sETvWNwDtZqtwNwU77q2k3g9yjau9L","Food">
App ::= <App36,PJH,v53.48,"MuDMwiOVgREUUC81zua2 MrCDnsyMl0q8AN708oz","Food">
App ::= <App37,CNERR,v34,"DwyoQW6Nf0CZ58B9AR6t8bVRWEgi RK5t2h3W7tZ","Study">
