User ::= TimWong
Period ::= Day
App ::= <App0,RQW,v13.22,"pJ70aVl Qi8D6NUxAmqSNQKU OrEBF19ZAj7ZXTH","Video">
App ::= <App1,CACU,v12.4,"UYgOgkCW4Bw1c1iX2aFWJgGH7NqqxnotycfpjBd8","Work">
App ::= <App2,RKOVSX,v3.24,"Q3S662ork2wTO9cKxjinKa2S2WrYdzymkVIGG8ou","SocialNetwork">
App ::= <App3,ZCNOZB,v8.13,"dVCAsf4jXDXJJtA3pcrzXXJqfeq40nGugvIl2OpH","Food">
App ::= <App4,PLWDE,v6.3,"mgni0yPWRtzVcPxF77WRGNLr3tbTMdNYld6tluSw","Work">
App ::= <App5,FUIY,v8.4,"xKUG6P5PFBCOVAgQEmKk6uAvkxbrdJw SHypIzwN","Office">
App ::= <App6,OQOIOVC,v15.1,"XkGqeV7 QLrbuleYo7lU9lpCyqVXSVcJ9pRJzIK","Office">
App ::= <App7,OSW,v14.8,"pg9eciLeazdolrXRpDATeKSHmNSeofi3GwAXw3oB","Office">
App ::= <App8,HTMHH,v7.16,"k1U85077cVmDvh7WcF0YrWNFQTn8jm4hVn1wnnEp","Child">
App ::= <App9,ZNUOMT,v11.17,"BVTIEgkkSmmgP0C1EXj68G6wgdrVKvXOgG2vfFye","Study">
App ::= <App10,FSIQ,v6.6,"ZTmyeT5x7rK432lVx3ny8TKaFJWRvwDmZrWxoKZL","SocialNetwork">
App ::= <App11,XOG,v16.9,"ElEl51WqE6Ue0ugolip0ybi7qfmt9Woia0perluX","SocialNetwork">
App ::= <App12,YYWQ,v3.9,"LY6Pvqh83YdNy1yR4DiLG4Bay8v 6KcvUcfpldBx","Food">
App ::= <App13,VXM,v10.6,"6zAkbcnSsvsr6YGFKyZ5V666fJi0iroxAuImJ2 Y","Office">
App ::= <App14,FVV,v14.28,"8t2DdqGRi oXAzgVpGxhvUdlVzA z3DtlDKj7RS8","Video">
App ::= <App15,JQY,v0.3,"f82fHmHpgCNPkh2XgLyeT3cpUe8ugpUTjurTicm","Office">
App ::= <App16,OXHZGFD,v6.11,"7fmPX29CBXhTHXUgz5UUJStrpI3YvNgB9bC1gvHs","Child">
App ::= <App17,LKODJE,v15.26,"V rsZxYVmiFg5wj8CgONbdkPcDgEFDdYilOPNSIg","Food">
App ::= <App18,GB,v0.26,"9RZZ309ZUTiu9C5oCNorITighKIYV1KiY4SMmOFF","Music">
App ::= <App19,VX,v5.7,"NX8SCwUQjQ4o44AMzS8YGQLD2zYjYqdsNK4 QWuX","Office">
App ::= <App20,KGOO,v18.29,"WGU25N4rAyqlbjMIuEoBwLk2NDGz5RUvvrAgrg8","Leisure">
App ::= <App21,SOR,v8.28,"wJXa1Uaj0vC7lwSIClAM lMQd8YA3svmQmfn eKI","Music">
App ::= <App22,DYIRUW,v2.14,"BALR60jgF5aruxYe5Tv0FDIZemsWGdWzS11jRsHJ","Travel">
App ::= <App23,NVW,v7.19,"BdYFCIPY7kC63eVPj6C2iSlXNvUaK5cCvhVAmfKF","Travel">
App ::= <App24,FUGYKP,v3.0,"dJIwbEUmJEBJden6xxeo8x7IeiymFCPSdQ9jl2Xp","Video">
App ::= <App25,UB,v19.9,"UvO3T2M9yPRtTYby IKDLDABSHNh3zjLuWJpooLZ","Work">
App ::= <App26,DVS,v18.14,"e9mAiUgPAHOLqjKOs9g6k7UfsgUc2LQW6VIT5XCR","Work">
App ::= <App27,UHXLLJ,v10.1,"dWJQITzYYw13NosEoLeAc4CBUvTV5Ah3ocwThfmq","Game">
App ::= <App28,OESTD,v10.13,"xRcS2to6dH0FHTk3QzhyjpMyfVxYbD7lRjS4OfC3","Video">
App ::= <App29,JQFT,v10.20,"yQr3czUHlwBntvl4PR1W5P38qUEmTMTXShAXPE 8","Office">
App ::= <App30,HGTOUPX,v14.3,"SNcZkT1OVhvRHyexAyg7bkqRCQlRvCU0qZk9siOJ","SocialNetwork">
App ::= <App31,QXAJTS,v4.12,"hWixmONxh9frdXPwJGdheWYm7HUBoA30canQJQHn","Child">
App ::= <App32,FFGQ,v13.19,"Ut4RAvQHSsqbn9c4xHhQVT XUpABSoADN2x ANPZ","Travel">
App ::= <App33,YSXICR,v18.18,"mDXLCH8rBuJx2jq7Jv2w7QrPTd06fTSnLvNdFUdz","Music">
App ::= <App34,XZNG,v7.1,"1mhZk23XmkgFdPi3HTCfn2CKlenUONEsksF0q52P","Picture">
App ::= <App35,LKO,v12.29,"rVbB9i1uiltodgoiYYkI7qgP6TXjXpZ7jOV Kd6Z","Music">
App ::= <App36,KVN,v15.16,"4 EZpqnXiZTb3jJxlqpwsOG2QsVYdLK6kcrSKc7w","Food">
App ::= <App37,RXSK,v11.13,"kaA3LRdNo19spJZePo7sGrPPX8o1AEV6HtDUSCwJ","Leisure">
App ::= <App38,AJOIND,v12.6,"dzbXN0NnLc9sFsQOJLnWdlH0ZMteZoDmO9efqort","Game">
App ::= <App39,SVOK,v13.5,"1NukVQvETgXE66fIjGLgcKe0I1PMeomR4xWp2FXt","Office">
App ::= <App40,ZMSZBR,v6.28,"cHj MWNx7DIqXcxNSpK2SnwDXtKg H3kv6iBAPQM","Video">
App ::= <App41,IPVHV,v11.1,"12iBS3woAlUcDN3JUbTAciO2KovZOeHcpwn75e1R","Food">
App ::= <App42,MP,v16.20,"fOWt2PZ h33HhCbX7KrFDUdOmMUE8RbVZSAIyD F","Leisure">
App ::= <App43,QZXUCUV,v0.22,"s46WZLum Vt yN7bzI rIA4TvlFHR40o8TnDvNoo","Office">
App ::= <App44,KSWOVQ,v16.3,"0Ei IMfxy3204oGyECzok1Yd7Z6WbalLMPderzTX","Game">
App ::= <App45,BZCMG,v12.19,"1BqhrXFO37KGvsutHhGmoyCdurWcfBFtcpFOkvEF","Office">
App ::= <App46,CHABN,v2.2,"H6qOUkJiFax7ixuzYH2R zKSN8DNjWxbIvlHk9Ob","Music">
App ::= <App47,FMWE,v11.10,"JJBfwJlno6CtCVP7naa3QsgtmiAsyyABKJtYzlPD","Office">
App ::= <App48,WUGOO,v12.24,"uzro aKoVjXAtrkes8vybwCm9qXCDbsEYxocqvf6","Leisure">
App ::= <App49,XTAHL,v10.2,"zuDh1IqyHjHHRlKmlpxDuIecTvrot35JACTtNKCi","Travel">
App ::= <App50,LH,v4.2,"jqyjeAjEmh0eOeXAiAPSCSMbTj47NIIwh94zSAfw","Travel">
App ::= <App51,ERUXIR,v2.27,"sOupzDnAnwhH23tnSfV890Louh2bHnhko0yqdQle","Picture">
App ::= <App52,NAQUN,v17.10,"0WonEE86NFh2g2SmDJsY5daTBPYs4fbwxOMlxYBx","SocialNetwork">
App ::= <App53,HZBASAU,v17.7,"X0sTh42I KyGLBQJCrmpqMvDL91rQQvmnGHOfqER","Travel">
App ::= <App54,PMVE,v3.28,"QMr 76oPiNzEhJcdeZ1qo7GaKQy9oQvIqJHAUK1k","Study">
App ::= <App55,IWVDRW,v0.18,"6uD f7nxeG5lB4B3cwZVVBCRVAhaiw9rlzWloG1X","Picture">
App ::= <App56,YPMI,v3.15,"YnPqrI1v3vsqgj9aOoajhobAicBIJU9huRTxY6rm","Travel">
App ::= <App57,HAAWII,v0.11,"wl1y210uMJxtf  3nB1XdircOLdTHJ4eudO6cdJ3","Study">
App ::= <App58,MLGB,v18.22,"KmfTgdYFuVal2Fa2QTEhgg BoC7iHauxbTNA9CM7","Study">
App ::= <App59,DMGINCZ,v17.25,"TQvFM3sbapVAXBABABwShXaSdE mWqCgm8xVG1Xh","Game">
App ::= <App60,SSDW,v0.3,"8bVQTEEg9Tq9ALR6iKnPDMSvereD8cxkAmEczz6E","Child">
App ::= <App61,QDH,v0.3,"g7mhaXeeFftUwu137N7k6CpvY5Ah3ZTWFlOSnS9","SocialNetwork">
App ::= <App62,JMMAAFB,v19.6,"ACEbf1Vrl7UbNpfttHfMdei5wYAm9zmoT5rFzQoF","Picture">
App ::= <App63,PXTXZA,v7.20,"hDjkLIJwhiTwVILW569thSTOSF8lDzKLFdoZZe2f","Work">
